LICENSE#,FULL NAME,DBA NAME,LICENSE TYPE,DESCRIPTION,STATUS,PROCESSED DATE,START DATE,EXPIRE DATE,INACTIVE DATE,INSPECTOR NAME,MILESTONE DATE,MILESTONE,PROPERTY TYPE,SITE LOCATION,ZIP,COMPANY TYPE,#EMPLOYEES,#VEHICLES,#STANDS,#SEATS,#UNITS,TYPE OF BUSINESS,COUNCIL DISTRICT,BID AREA,APPLICATION DESCRIPTION,STATE LICENSE#,HOME BASED,OUTSIDE CITY,CLASS DESCRIPTION,BUSN LICENSE EXEMPT,Shape,FPEXEMPT,FPCITYFAC,CETOTALUNITS,CENSUSTRACT,HEDISCOUNT,HEPROGRAMELEMENT,HEPROGRAMELEMENTDESC,HEWATERAMOUNT,HEHAZMATAMOUNT,HEEPANUMBER,HEEVENTSTART,HEONETIMEPERMIT,HEEVENTEND,HEPERMITTYPE,HEPERMITTYPEDESC,HEEVENTNAME,HEEXEMPT,COMMENTS,OBJECTID
BU20537350,NEW CINGULAR WIRELESS PCS LLC,AT&T MOBILITY,BU,Communication Facility - Cell Site,Active,1.12E+12,1.12E+12,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,800 W 15TH ST,90813,LLC,0,0,0,0,0,Communication Facility - Cell Site,1,,New License,,No,No,Services,No,,,,0,0,,,,,,,,,,,,,,,50745
BU20537420,NEW CINGULAR WIRELESS PCS LLC,AT&T MOBILITY,BU,Communication Facility - Cell Site,Active,1.12E+12,1.12E+12,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,200  PINE AVE,90802,LLC,0,0,0,0,0,Communication Facility - Cell Site,2,DOWNTOWN,New License,,No,No,Services,No,,,,0,0,,,,,,,,,,,,,,,50752
BU03046472,M & M ASSET MANAGEMENT LLC,,BU,Apartment House,Active,1.44E+12,1.44E+12,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,530  CHESTNUT AVE,90802,LLC,0,0,0,0,15,Apartment House,1,DOWNTOWN,Change of Ownership,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,Residential Rental,50815
BU03046530,BASSIN FAMILY TRUST,,BU,Apartment House,Active,2.58E+11,2.58E+11,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,555  PACIFIC AVE,90802,SOLE,0,0,0,0,12,Apartment House,1,DOWNTOWN,New License,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,,50821
BU03046612,ROBERT M DOWLING,,BU,Apartment House,Active,1.35E+12,1.35E+12,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,430  PACIFIC AVE,90802,SOLE,0,0,0,0,42,Apartment House,1,DOWNTOWN,Change of Ownership,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,Residential Rental,50823
BU03046622,MIGUEL GUZMAN,,BU,Apartment House,Active,1.15E+12,1.15E+12,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,234 W 5TH ST,90802,SOLE,0,0,0,0,6,Apartment House,1,DOWNTOWN,Change of Ownership,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,,50826
BU03052915,JAMES A MOORE,,BU,Apartment House,Active,9.28E+11,7.27E+11,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,9  BONITO AVE,90802,PARTNER,0,0,0,0,4,Apartment House,2,,New License,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,,50909
BU20618280,"TONY H & CHUNG, MARGARET LIM",ASIAN PACIFIC,BU,Commercial/Industrial Space  Rental,Active,1.14E+12,1.14E+12,1.57E+12,,Aswiege,1.54E+12,Renewed,COM,720 E ANAHEIM ST  720-724 E Anaheim St,90813,PARTNER,0,0,0,0,0,Commercial/Industrial Space  Rental,6,,New License,,No,No,Rental ??? Non-Residential Property,No,,,,0,0,,,,,,,,,,,,,,Comm/Ind Space Rental,51009
BU03038420,LAWRENCE & CAROL SHAW,,BU,Apartment House,Active,2.58E+11,2.58E+11,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,543 W 7TH ST  543-547 W 7th St,90813,SOLE,0,0,0,0,4,Apartment House,1,DOWNTOWN,New License,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,,51146
BU03038463,LOUIE OLVERA,,BU,Apartment House,Active,9.65E+11,9.00E+11,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,"440 W 8TH ST  440, 440 1/2 A,B,C,D, W 8th St",90813,SOLE,0,0,0,0,4,Apartment House,1,DOWNTOWN,Change of Ownership,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,Apartment House,51147
BU03038484,NIKOLA MALBASA,,BU,Apartment House,Active,1.39E+12,8.36E+11,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,416 W 8TH ST  416-24 W 8th St,90813,SOLE,0,0,0,0,4,Apartment House,1,DOWNTOWN,New License,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,Residential Rental,51151
BU03038502,LISA & JASON PEARCE,,BU,Apartment House,Active,1.29E+12,2.58E+11,1.56E+12,,LOVOSS,1.54E+12,Renewed,COM,743  CHESTNUT AVE,90813,SOLE,0,0,0,0,6,Apartment House,1,DOWNTOWN,Change of Ownership,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,Apartment,51154
BU07072725,DENIS J YOSHII,,BU,Commercial/Industrial Space  Rental,Active,1.43E+12,1.43E+12,1.57E+12,,LOVOSS,1.54E+12,Renewed,COM,755  PINE AVE,90813,SOLE,0,0,0,0,0,Commercial/Industrial Space  Rental,1,DOWNTOWN,Change of Ownership,,No,No,Rental ??? Non-Residential Property,No,,,,0,0,,,,,,,,,,,,,,Commercial/Industrial,53440
BU20631310,PAUL & SANDRA CARTER,,BU,Attorney,Active,1.15E+12,1.15E+12,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,400  OCEANGATE  800,90802,PARTNER,0,0,0,0,0,Attorney,2,DOWNTOWN,New License,,No,No,Professionals,No,,,,0,0,,,,,,,,,,,,,,Attorney,53511
BU00065440,JOHN HOWARD NYQUIST,ARTIST CRAFTSMAN WOOD,BU,Manufacturing,Active,-2.47E+11,-2.47E+11,1.55E+12,,LOVOSS,1.52E+12,Renewed,COM,2110 W 17TH ST,90813,SOLE,0,0,0,0,0,Manufacturing,1,,New License,,No,No,Manufacturing,No,,,,0,0,,,,,,,,,,,,,,Mfg Rtl,53562
BU00066370,LA MAR INDUSTRIES INC,INDUSTRIAL FILTRATION INC,BU,Manufacturing,Active,-1.18E+11,-1.18E+11,1.55E+12,,LOVOSS,1.52E+12,Renewed,COM,1500  DAISY AVE,90813,CORP,8,0,0,0,0,Manufacturing,1,,New License,,No,No,Manufacturing,No,,,,0,0,,,,,,,,,,,,,,Lubricants Carb,53567
BU20640090,RICK S NGOV,PANDANUS LEAF,BU,Restaurant & Ready to Eat Foods,Active,1.16E+12,1.16E+12,1.57E+12,,Aswiege,1.54E+12,Renewed,COM,763 E ANAHEIM ST,90813,SOLE,2,0,0,0,0,Restaurant & Ready to Eat Foods,6,,New License,,No,No,Retailing,No,,,,0,0,,,,,,,,,,,,,,Thai Restaurant,53638
BU20357460,CO BA DUONG,BEACH JEWELRY CENTER,BU,Retail Sales ??? Used Merchandise,Active,1.07E+12,1.00E+12,1.57E+12,,LOVOSS,1.54E+12,Renewed,COM,121  PINE AVE,90802,SOLE,0,0,0,0,0,Retail Sales ??? Used Merchandise,2,DOWNTOWN,Change of Address,,No,No,Retailing,No,,,,0,0,,,,,,,,,,,,,,Retail Jewelry-Used Merchandise,53687
BU07052682,TIGRAMI LP,,BU,Commercial/Industrial Space  Rental,Active,1.42E+12,1.42E+12,1.57E+12,,LOVOSS,1.54E+12,Renewed,COM,1340  COWLES ST,90813,LLC,0,0,0,0,0,Commercial/Industrial Space  Rental,1,,Change of Ownership,,No,No,Rental ??? Non-Residential Property,No,,,,0,0,,,,,,,,,,,,,,Commercial/Industrial Space Rental,53692
BU07052710,SEVEN J INVESTMENT CO,,BU,Commercial/Industrial Space  Rental,Active,5.00E+11,5.00E+11,1.57E+12,,LOVOSS,1.54E+12,Renewed,COM,609  COWLES ST  Includes 609-65 Cowles St,90813,PARTNER,0,0,0,0,0,Commercial/Industrial Space  Rental,1,,New License,,No,No,Rental ??? Non-Residential Property,No,,,,0,0,,,,,,,,,,,,,,,53695
BU20348284,ERIK V BRINKLEY,SHAMPU,BU,Barber/Beauty Shop Owner,Active,1.40E+12,1.07E+12,1.55E+12,,LOVOSS,1.53E+12,Renewed,COM,422 E BROADWAY,90802,SOLE,0,0,0,0,0,Barber/Beauty Shop Owner,2,DOWNTOWN,New License,,No,No,Services,No,,,,0,0,,,,,,,,,,,,,,Beauty Shop,53762
BU20450940,LB 4 FISH LLC,GLADSTONE'S LONG BEACH,BU,Restaurant & Ready to Eat Foods with Alcohol,Active,1.10E+12,1.10E+12,1.57E+12,,LOVOSS,1.54E+12,Renewed,COM,330 S PINE AVE,90802,LLC,80,0,0,0,0,Restaurant & Ready to Eat Foods with Alcohol,2,DOWNTOWN,New License,,No,No,Retailing,No,,,,0,0,,,,,,,,,,,,,,Restaurant With Alcohol,53892
BU07034611,NEILL PROPERTIES LLC,,BU,Commercial/Industrial Space  Rental,Active,1.43E+12,4.92E+11,1.57E+12,,LOVOSS,1.54E+12,Renewed,COM,1260 W 15TH ST,90813,PARTNER,0,0,0,0,0,Commercial/Industrial Space  Rental,1,,Change of Ownership,,No,No,Rental ??? Non-Residential Property,No,,,,0,0,,,,,,,,,,,,,,,53899
BU07034620,NEILL FAMILY TRUST,,BU,Commercial/Industrial Space  Rental,Active,4.92E+11,4.92E+11,1.57E+12,,LOVOSS,1.54E+12,Renewed,COM,1301 W 15TH ST,90813,PARTNER,0,0,0,0,0,Commercial/Industrial Space  Rental,1,,New License,,No,No,Rental ??? Non-Residential Property,No,,,,0,0,,,,,,,,,,,,,,,53900
BU07034630,"HODGES, REX L INC",,BU,Commercial/Industrial Space  Rental,Active,4.92E+11,4.92E+11,1.57E+12,,LOVOSS,1.54E+12,Renewed,COM,1302 W 15TH ST,90813,CORP,0,0,0,0,0,Commercial/Industrial Space  Rental,1,,New License,,No,No,Rental ??? Non-Residential Property,No,,,,0,0,,,,,,,,,,,,,,,53901
BU07034660,ROBERT C ET AL BEGHTOL,,BU,Commercial/Industrial Space  Rental,Active,4.92E+11,4.92E+11,1.57E+12,,LOVOSS,1.54E+12,Renewed,COM,1326 W 15TH ST,90813,SOLE,0,0,0,0,0,Commercial/Industrial Space  Rental,1,,New License,,No,No,Rental ??? Non-Residential Property,No,,,,0,0,,,,,,,,,,,,,,,53904
BU07034670,FRANK & DEBORAH ADAMS,,BU,Commercial/Industrial Space  Rental,Active,4.92E+11,4.92E+11,1.57E+12,,LOVOSS,1.54E+12,Renewed,COM,1335 W 15TH ST,90813,PARTNER,0,0,0,0,0,Commercial/Industrial Space  Rental,1,,New License,,No,No,Rental ??? Non-Residential Property,No,,,,0,0,,,,,,,,,,,,,,,53905
BU07034680,"NEILL, RAYMOND & GENEVA",,BU,Commercial/Industrial Space  Rental,Active,4.92E+11,4.92E+11,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,1336 W 15TH ST,90813,CORP,0,0,0,0,0,Commercial/Industrial Space  Rental,1,,New License,,No,No,Rental ??? Non-Residential Property,No,,,,0,0,,,,,,,,,,,,,,,53906
BU07034690,NORMAN E AND ESSENWANGER,,BU,Commercial/Industrial Space  Rental,Active,4.92E+11,4.92E+11,1.57E+12,,LOVOSS,1.54E+12,Renewed,COM,1346 W 15TH ST,90813,PARTNER,0,0,0,0,0,Commercial/Industrial Space  Rental,1,,New License,,No,No,Rental ??? Non-Residential Property,No,,,,0,0,,,,,,,,,,,,,,,53907
BU03036100,DARIN EPPERLY,,BU,Apartment House,Active,2.58E+11,2.58E+11,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,1135  DAISY AVE,90813,SOLE,0,0,0,0,6,Apartment House,1,,New License,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,6 Units,54040
BU03036111,JUAN S ARTEAGA,,BU,Apartment House,Active,1.14E+12,2.58E+11,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,1129  DAISY AVE,90813,SOLE,0,0,0,0,6,Apartment House,1,,Change of Ownership,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,,54042
BU03041552,WHITECAP PROPERTIES LLC,,BU,Apartment House,Active,1.44E+12,1.44E+12,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,720 E 8TH ST,90813,LLC,0,0,0,0,7,Apartment House,1,DOWNTOWN,Change of Ownership,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,Residential Rental,54047
BU03041580,WILLIAM M GENSEMER,,BU,Apartment House,Active,2.58E+11,2.58E+11,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,751  OLIVE AVE,90813,SOLE,0,0,0,0,4,Apartment House,1,DOWNTOWN,New License,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,,54048
BU07057100,BEARY PROPERTIES INC,,BU,Commercial/Industrial Space  Rental,Active,5.00E+11,5.00E+11,1.57E+12,,LOVOSS,1.54E+12,Renewed,COM,1461  HARBOR AVE,90813,CORP,0,0,0,0,0,Commercial/Industrial Space  Rental,1,,New License,,No,No,Rental ??? Non-Residential Property,No,,,,0,0,,,,,,,,,,,,,,,54076
BU03048620,ROGER L AND JANICE J ANDERSON,,BU,Apartment House,Active,2.58E+11,2.58E+11,1.56E+12,,LOVOSS,1.54E+12,Renewed,COM,60  LIME AVE,90802,PARTNER,0,0,0,0,22,Apartment House,2,DOWNTOWN,New License,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,,54317
BU03048632,MICHAEL BARBER,,BU,Apartment House,Active,1.12E+12,1.52E+11,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,703  MEDIO ST  Includes 703-05 Medio St,90802,SOLE,0,0,0,0,7,Apartment House,2,DOWNTOWN,Change of Ownership,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,,54319
BU03048642,TING-WEY YEN,,BU,Apartment House,Active,1.03E+12,2.58E+11,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,711  MEDIO ST,90802,PARTNER,0,0,0,0,10,Apartment House,2,DOWNTOWN,Change of Ownership,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,,54320
BU03037461,MARIA MELENA,,BU,Apartment House,Active,8.86E+11,8.58E+11,1.56E+12,,LOVOSS,1.54E+12,Renewed,COM,1009  CHESTNUT AVE,90813,SOLE,0,0,0,0,4,Apartment House,1,,Change of Ownership,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,Apartment House,54324
BU03037494,SAILESH BHATIA,,BU,Apartment House,Active,1.44E+12,1.44E+12,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,1022  MAGNOLIA AVE,90813,PARTNER,0,0,0,0,6,Apartment House,1,,Change of Ownership,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,Residential Rental,54332
BU20134880,FANNY DAMARIZ GOMEZ,,BU,Commercial/Industrial Space  Rental,Active,9.98E+11,9.98E+11,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,412 W ANAHEIM ST,90813,SOLE,0,0,0,0,0,Commercial/Industrial Space  Rental,1,,New License,,No,No,Rental ??? Non-Residential Property,No,,,,0,0,,,,,,,,,,,,,,Commercial Industrial Space Rental,54452
BU03039678,JONATHON NEAL,,BU,Apartment House,Active,1.42E+12,1.41E+12,1.56E+12,,LOVOSS,1.54E+12,Renewed,COM,101 W 9TH ST,90813,SOLE,0,0,0,0,4,Apartment House,1,DOWNTOWN,Change of Ownership,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,Residential Rental,54569
BU03039680,WILLIAM & DEBRA WARD,,BU,Apartment House,Active,2.58E+11,2.58E+11,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,128 W 9TH ST,90813,PARTNER,0,0,0,0,4,Apartment House,1,DOWNTOWN,New License,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,,54570
BU03039730,CORNELIS V STYGEREN,BLOKKER & ASSOCIATES,BU,Apartment House,Active,2.58E+11,2.58E+11,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,852  ELM AVE,90813,SOLE,0,0,0,0,6,Apartment House,1,DOWNTOWN,New License,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,,54571
BU03039740,MAX LIMON,,BU,Apartment House,Active,2.58E+11,2.58E+11,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,848  ELM AVE,90813,SOLE,0,0,0,0,12,Apartment House,1,DOWNTOWN,New License,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,,54572
BU03039751,M B EQUITY LLC,,BU,Apartment House,Active,1.12E+12,2.58E+11,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,842  ELM AVE,90813,CORP,0,0,0,0,12,Apartment House,1,DOWNTOWN,Change of Ownership,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,,54574
BU03039761,M B EQUITY LLC,,BU,Apartment House,Active,1.12E+12,2.58E+11,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,830  ELM AVE,90813,CORP,0,0,0,0,11,Apartment House,1,DOWNTOWN,Change of Ownership,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,,54576
BU03039770,CARL E SWAIN,,BU,Apartment House,Active,1.52E+11,1.52E+11,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,837  LINDEN AVE,90813,SOLE,0,0,0,0,11,Apartment House,1,DOWNTOWN,New License,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,,54577
BU03039781,B & C PROPERTIES INC,,BU,Apartment House,Active,9.00E+11,8.74E+11,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,823  LINDEN AVE,90813,CORP,0,0,0,0,36,Apartment House,1,DOWNTOWN,Change of Ownership,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,Apartment House,54578
BU07041040,SMOLANOVICH FAMILY TRUST,,BU,Commercial/Industrial Space  Rental,Active,4.92E+11,4.92E+11,1.57E+12,,LOVOSS,1.55E+12,Renewed,COM,1845 W ANAHEIM ST,90813,PARTNER,0,0,0,0,0,Commercial/Industrial Space  Rental,1,,New License,,No,No,Rental ??? Non-Residential Property,No,,,,0,0,,,,,,,,,,,,,,,54659
BU07075651,1562 SEABRIGHT AVENUE LLC,,BU,Commercial/Industrial Space  Rental,Active,1.33E+12,1.33E+12,1.57E+12,,LOVOSS,1.53E+12,Renewed,COM,1526  SEABRIGHT AVE,90813,LLC,0,0,0,0,0,Commercial/Industrial Space  Rental,1,,Change of Ownership,,No,No,Rental ??? Non-Residential Property,No,,,,0,0,,,,,,,,,,,,,,Commercial/Industrial Space Rental,54695
BU07075671,ROBERT O GARCIA TRUST,,BU,Commercial/Industrial Space  Rental,Active,1.23E+12,4.92E+11,1.55E+12,,LOVOSS,1.55E+12,Pre-Renew,COM,1552  SEABRIGHT AVE,90813,SOLE,0,0,0,0,0,Commercial/Industrial Space  Rental,1,,New License,,No,No,Rental ??? Non-Residential Property,No,,,,0,0,,,,,,,,,,,,,,Comm Industrial Space Rental,54698
BU20537520,NEW CINGULAR WIRELESS PCS LLC,AT&T MOBILITY,BU,Communication Facility - Cell Site,Active,1.12E+12,1.12E+12,1.56E+12,,Aswiege,1.53E+12,Renewed,COM,1043  ELM AVE,90813,LLC,0,0,0,0,0,Communication Facility - Cell Site,6,,New License,,No,No,Services,No,,,,0,0,,,,,,,,,,,,,,,54727
BU20234380,WALKER K IRVING,,BU,Apartment House,Active,1.03E+12,5.18E+11,1.56E+12,,Aswiege,1.53E+12,Renewed,COM,"1042  MYRTLE AVE  1042,44,46,48 Myrtle Ave",90813,SOLE,0,0,0,0,4,Apartment House,6,,New License,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,Apartment House,54744
BU06057060,EDWARD ARNOLD,,BU,Apartment House,Active,4.60E+11,4.60E+11,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,928  CEDAR AVE,90813,SOLE,0,0,0,0,6,Apartment House,1,DOWNTOWN,New License,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,,54856
BU06057222,YVONNE PATRICIA BRIGHT,,BU,Apartment House,Active,1.16E+12,1.12E+12,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,537  CHESTNUT AVE,90802,SOLE,0,0,0,0,7,Apartment House,1,DOWNTOWN,Change of Ownership,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,,54863
BU07030720,RICHARD KRUMHAUER,,BU,Commercial/Industrial Space  Rental,Active,4.92E+11,4.92E+11,1.57E+12,,LOVOSS,1.54E+12,Renewed,COM,241 E 7TH ST  Includes 241-49 E 7th St,90813,SOLE,0,0,0,0,0,Commercial/Industrial Space  Rental,1,DOWNTOWN,New License,,No,No,Rental ??? Non-Residential Property,No,,,,0,0,,,,,,,,,,,,,,,54935
BU07030730,FRANK H AND IRENE M SUMI,,BU,Commercial/Industrial Space  Rental,Active,4.92E+11,4.92E+11,1.57E+12,,LOVOSS,1.54E+12,Renewed,COM,242 E 7TH ST  242-50 E 7th St & 649-53 L B Bl,90813,PARTNER,0,0,0,0,0,Commercial/Industrial Space  Rental,1,DOWNTOWN,New License,,No,No,Rental ??? Non-Residential Property,No,,,,0,0,,,,,,,,,,,,,,,54936
BU07030751,"COATES, JEFFREY TRUST",,BU,Commercial/Industrial Space  Rental,Active,1.36E+12,1.36E+12,1.57E+12,,LOVOSS,1.55E+12,Renewed,COM,351 E 7TH ST,90813,TRUST,0,0,0,0,0,Commercial/Industrial Space  Rental,1,DOWNTOWN,Change of Ownership,,No,No,Rental ??? Non-Residential Property,No,,,,0,0,,,,,,,,,,,,,,Commercial/Industrial,54939
BU20539370,GRAND TRANSPORTATION INC,,BU,Business Office,Active,1.12E+12,7.89E+11,1.55E+12,,LOVOSS,1.55E+12,Pre-Renew,COM,620 W 16TH ST D,90813,CORP,5,0,0,0,0,Business Office,1,,Change of Address,,No,No,Services,No,,,,0,0,,,,,,,,,,,,,,Trucking Co Office Only,54965
BU03034662,SONG CHIM KAING,KAING REALTY,BU,Apartment House,Active,9.95E+11,2.58E+11,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,525 E ESTHER ST,90813,SOLE,0,0,0,0,6,Apartment House,1,,Change of Ownership,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,,55125
BU03034670,ANTONIO AND JUANA MACIAS,,BU,Apartment House,Active,2.58E+11,2.58E+11,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,539 E ESTHER ST,90813,PARTNER,0,0,0,0,6,Apartment House,1,,New License,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,,55126
